구지 모모라 내추럴 G1 스페셜티,17200원,구지,Rehm Coffee,http://www.rehmcoffee.co.kr/product/ethiopiaguji-mormora-natural-g1-specialty-%EA%B5%AC%EC%A7%80-%EB%AA%A8%EB%AA%A8%EB%9D%BC-%EB%82%B4%EC%B6%94%EB%9F%B4-g1-%EC%8A%A4%ED%8E%98%EC%85%9C%ED%8B%B0/349/category/43/display/1/
에티오피아 구지 사키소 내추럴 G1,15900원,에티오피아,Rehm Coffee,http://www.rehmcoffee.co.kr/product/ethiopia-guji-shakiso-g1-natural-specialty-%EC%97%90%ED%8B%B0%EC%98%A4%ED%94%BC%EC%95%84-%EA%B5%AC%EC%A7%80-%EC%82%AC%ED%82%A4%EC%86%8C-%EB%82%B4%EC%B6%94%EB%9F%B4-g1/189/category/43/display/1/
케냐 AB 니에리,12300원,케냐,Rehm Coffee,http://www.rehmcoffee.co.kr/product/kenya-ab-nyeri-%EC%BC%80%EB%83%90-ab-%EB%8B%88%EC%97%90%EB%A6%AC/116/category/43/display/1/
에티오피아 예가체프 G1 코체레 워시드,14800원,에티오피아,Rehm Coffee,http://www.rehmcoffee.co.kr/product/ethiopia-yirgacheffe-g1-kochere-washed-%EC%97%90%ED%8B%B0%EC%98%A4%ED%94%BC%EC%95%84-%EC%98%88%EA%B0%80%EC%B2%B4%ED%94%84-g1-%EC%BD%94%EC%B2%B4%EB%A0%88-%EC%9B%8C%EC%8B%9C%EB%93%9C/115/category/43/display/1/
에티오피아 예가체프 코케 허니 내추럴 G1,16200원,에티오피아,Rehm Coffee,http://www.rehmcoffee.co.kr/product/ethiopia-yirgacheffe-g1-koke-honey-natural-%EC%97%90%ED%8B%B0%EC%98%A4%ED%94%BC%EC%95%84-%EC%98%88%EA%B0%80%EC%B2%B4%ED%94%84-%EC%BD%94%EC%BC%80-%ED%97%88%EB%8B%88-%EB%82%B4%EC%B6%94%EB%9F%B4-g1/114/category/43/display/1/
케냐 피베리 Plus 오타야,15000원,케냐,Rehm Coffee,http://www.rehmcoffee.co.kr/product/kenya-peaberry-plus-othaya-%EC%BC%80%EB%83%90-%ED%94%BC%EB%B2%A0%EB%A6%AC-plus-%EC%98%A4%ED%83%80%EC%95%BC/112/category/43/display/1/
브룬디 AA 스페셜티 뭉카제,14500원,브룬디,Rehm Coffee,http://www.rehmcoffee.co.kr/product/burundi-aa-specialty-munkaze%EB%B8%8C%EB%A3%AC%EB%94%94-aa-%EC%8A%A4%ED%8E%98%EC%85%9C%ED%8B%B0-%EB%AD%89%EC%B9%B4%EC%A0%9C/100/category/43/display/1/
케냐 AA 니에리,15000원,케냐,Rehm Coffee,http://www.rehmcoffee.co.kr/product/kenya-aa-nyeri-%EC%BC%80%EB%83%90-aa-%EB%8B%88%EC%97%90%EB%A6%AC/53/category/43/display/1/
에티오피아 예가체프 G2 프리미엄,11000원,에티오피아,Rehm Coffee,http://www.rehmcoffee.co.kr/product/ethiopia-yirgacheffe-g2-premium-%EC%97%90%ED%8B%B0%EC%98%A4%ED%94%BC%EC%95%84-%EC%98%88%EA%B0%80%EC%B2%B4%ED%94%84-g2-%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84/48/category/43/display/1/
에티오피아 시다모 G2 아이다,10300원,에티오피아,Rehm Coffee,http://www.rehmcoffee.co.kr/product/ethiopia-sidamo-g2-aida-%EC%97%90%ED%8B%B0%EC%98%A4%ED%94%BC%EC%95%84-%EC%8B%9C%EB%8B%A4%EB%AA%A8-g2-%EC%95%84%EC%9D%B4%EB%8B%A4/46/category/43/display/1/
탄자니아 노스 AA 킬리만자로,10000원,탄자니아,Rehm Coffee,http://www.rehmcoffee.co.kr/product/tanzanianorth-aa-kilimanjaro-%ED%83%84%EC%9E%90%EB%8B%88%EC%95%84-%EB%85%B8%EC%8A%A4-aa-%ED%82%AC%EB%A6%AC%EB%A7%8C%EC%9E%90%EB%A1%9C/55/category/43/display/1/
에티오피아 시다모 G4 라타 내추럴,8200원,에티오피아,Rehm Coffee,http://www.rehmcoffee.co.kr/product/ethiopia-sidamo-g4-lata-%EC%97%90%ED%8B%B0%EC%98%A4%ED%94%BC%EC%95%84-%EC%8B%9C%EB%8B%A4%EB%AA%A8-g4-%EB%9D%BC%ED%83%80-%EB%82%B4%EC%B6%94%EB%9F%B4/47/category/43/display/1/
르완다 버본 타바 이스테이트,10700원,르완다,Rehm Coffee,http://www.rehmcoffee.co.kr/product/rwanda-bourbon-taba-estate-%EB%A5%B4%EC%99%84%EB%8B%A4-%EB%B2%84%EB%B3%B8-%ED%83%80%EB%B0%94-%EC%9D%B4%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%8A%B8/88/category/43/display/1/
케냐 AA TOP 라가티,18500원,케냐,Rehm Coffee,http://www.rehmcoffee.co.kr/product/kenya-aa-top-ragati-%EC%BC%80%EB%83%90-aa-top-%EB%9D%BC%EA%B0%80%ED%8B%B0/93/category/43/display/1/
에티오피아 하라 G4 롱베리,14000원,에티오피아,Rehm Coffee,http://www.rehmcoffee.co.kr/product/ethiopia-harrar-g4-longberry-%EC%97%90%ED%8B%B0%EC%98%A4%ED%94%BC%EC%95%84-%ED%95%98%EB%9D%BC-g4-%EB%A1%B1%EB%B2%A0%EB%A6%AC/44/category/43/display/1/
케냐 피베리 케리초,13500원,케냐,Rehm Coffee,http://www.rehmcoffee.co.kr/product/kenya-peaberry-kericho-%EC%BC%80%EB%83%90-%ED%94%BC%EB%B2%A0%EB%A6%AC-%EC%BC%80%EB%A6%AC%EC%B4%88/74/category/43/display/1/
